"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"94",94,38.6628049198254,8.45505143528925,52.8821436448854,61.3371950801746,-29.491048937998,2.73851104800254,26.7525378899954,29.4910489379979
"95",95,38.297447969573,7.99791403487749,53.7046379955496,61.7025520304271,-29.41798564797,2.40835036941448,27.0096352785555,29.4179856479699
"96",96,37.9582802583747,7.55937318164813,54.4823465599772,62.0417197416254,-29.3420829836011,2.10691735258431,27.2351656310168,29.342082983601
"97",97,37.6433031104797,7.13955982130486,55.2171370682155,62.3566968895204,-29.2645645985216,1.83264061541652,27.431923983105,29.2645645985215
"98",98,37.3506809958907,6.73843729754294,55.9108817065663,62.6493190041093,-29.1864182901733,1.58387420801981,27.6025440821535,29.1864182901733
"99",99,37.0787278072652,6.35583035263581,56.565441840099,62.9212721927348,-29.1084357150016,1.35894244894523,27.7494932660563,29.1084357150016
"100",100,36.8258941586106,5.99145039551568,57.1826554458738,63.1741058413895,-29.0312458039406,1.15617450777189,27.8750712961687,29.0312458039406
"101",101,36.5907556894256,5.64491741192524,57.7643268986492,63.4092443105744,-28.9553427797047,0.973930546515511,27.9814122331891,28.9553427797046
"102",102,36.3720023306721,5.31577886818165,58.3122188011463,63.627997669328,-28.8811096447522,0.810621141692839,28.0704885030593,28.8811096447521
"103",103,36.1684284843673,5.00352594885249,58.8280455667802,63.8315715156327,-28.808837738292,0.664721025799068,28.1441167124928,28.8088377382919
"104",104,35.9789240574902,4.70760744346753,59.3134684990424,64.0210759425099,-28.7387430790313,0.534778522193752,28.2039645568374,28.7387430790312
"105",105,35.8024662871636,4.42744155283105,59.7700921600054,64.1975337128364,-28.6709799527,0.419421439526358,28.2515585131736,28.6709799527
"106",106,35.6381122961218,4.16242587830661,60.1994618255717,64.3618877038783,-28.6056522385327,0.317360283682892,28.2882919548497,28.6056522385326
"107",107,35.4849923177341,3.91194582432314,60.6030618579428,64.515007682266,-28.5428228103546,0.227389321157391,28.3154334891972,28.5428228103546
"108",108,35.3423035326326,3.67538161961737,60.9823148477501,64.6576964673675,-28.4825213445369,0.148386022559668,28.3341353219772,28.4825213445368
"109",109,35.2093044625473,3.45211414055496,61.3385813968978,64.7906955374527,-28.4247507968215,0.0793093007254941,28.3454414960959,28.4247507968214
"110",110,35.0853098705511,3.24152969873132,61.6731604307177,64.914690129449,-28.3694927714373,0.0191968604907062,28.3502959109465,28.3694927714373
"111",111,34.9696861208595,3.04302393600709,61.9872899431335,65.0303138791406,-28.3167119659766,-0.0328380754448294,28.3495500414214,28.3167119659765
"112",112,34.8618469551673,2.85600495282331,62.2821480920095,65.1381530448328,-28.2663598473114,-0.077610460617128,28.3439703079285,28.2663598473114
"113",113,34.7612496462333,2.67989578011419,62.5588545736526,65.2387503537667,-28.2183776870291,-0.115867375805109,28.3342450628341,28.218377687029
"114",114,34.6673914929763,2.51413629126656,62.8184722157572,65.3326085070238,-28.1726990636725,-0.148292110565678,28.3209911742381,28.1726990636725
"115",115,34.5798066246631,2.35818463823578,63.0620087371012,65.420193375337,-28.1292519211935,-0.175508278137069,28.3047601993304,28.1292519211934
"116",116,34.4980630848531,2.21151828499522,63.2904186301517,65.5019369151469,-28.0879602579978,-0.198083889699209,28.286044147697,28.0879602579978
"117",117,34.4217601685945,2.07363470183863,63.5046051295669,65.5782398314055,-28.0487455085874,-0.216535333028103,28.2652808416154,28.0487455085874
"118",118,34.3505259889567,1.94405177554798,63.7054222354954,65.6494740110433,-28.0115276694219,-0.231331215558629,28.2428588849804,28.0115276694219
"119",119,34.2840152513403,1.82230798296504,63.8936767656947,65.7159847486597,-27.9762262120227,-0.242896043885662,28.2191222559083,27.9762262120227
"120",120,34.221907216138,1.70796236895159,64.0701304149105,65.778092783862,-27.9427608191739,-0.251613721203405,28.1943745403772,27.9427608191739
"121",121,34.163903832249,1.60059436398991,64.2355018037611,65.836096167751,-27.9110519741108,-0.25783085160226,28.1688828257129,27.9110519741107
"122",122,34.1097280256874,1.4998034716679,64.3904685026448,65.8902719743126,-27.8810214276259,-0.261859845917657,28.1428812735435,27.8810214276259
"123",123,34.0591221290888,1.40520885192822,64.535669018983,65.9408778709111,-27.8525925638908,-0.263981828253268,28.116574392144,27.8525925638908
"124",124,34.0118464393253,1.31644882216198,64.6717047385127,65.9881535606746,-27.8256906823475,-0.264449345655503,28.0901400280029,27.8256906823475
"125",125,33.9676778916987,1.23318029492657,64.7991418133747,66.0323221083013,-27.8002432101128,-0.263488885973044,28.0637320960857,27.8002432101128
"126",126,33.9264088403168,1.1550781682042,64.918512991479,66.0735911596831,-27.7761798573269,-0.261303210293136,28.0374830676199,27.7761798573269
"127",127,33.8878459352698,1.08183468163791,65.0303193830923,66.1121540647302,-27.753432724746,-0.258073508749539,28.0115062334954,27.753432724746
"128",128,33.8518090881351,1.0131587500377,65.1350321618272,66.1481909118649,-27.7319363726692,-0.253961387898387,27.9858977605674,27.7319363726691
"129",129,33.8181305181557,0.948775283599185,65.2330941982452,66.1818694818443,-27.7116278585833,-0.249110698857424,27.9607385574406,27.7116278585833
"130",130,33.7866538721668,0.888424502682694,65.3249216251506,66.2133461278332,-27.6924467485269,-0.243649216320281,27.9360959648471,27.6924467485269
"131",131,33.7572334120046,0.831861253629821,65.4109053343656,66.2427665879954,-27.6743351075353,-0.237690177650906,27.9120252851861,27.6743351075352
"132",132,33.7297332637181,0.77885433091812,65.4914124053639,66.270266736282,-27.6572374732717,-0.231333691502261,27.8885711647739,27.6572374732717
"133",133,33.7040267234337,0.729185809947171,65.5667874666192,66.2959732765663,-27.6411008162294,-0.224668025148718,27.865768841378,27.6411008162294
"134",134,33.6799956152002,0.682650393889043,65.6373539909108,66.3200043847998,-27.6258744893538,-0.217770779354791,27.8436452687084,27.6258744893537
"135",135,33.6575296965647,0.639054777303236,65.7034155261321,66.3424703034353,-27.6115101694611,-0.210709959232093,27.8222201286931,27.6115101694611
"136",136,33.636526108018,0.598217028593853,65.7652568633882,66.363473891982,-27.5979617924291,-0.20354494910358,27.8015067415326,27.5979617924291
"137",137,33.6168888627929,0.559965992859975,65.8231451443472,66.3831111372071,-27.5851854837979,-0.196327398952145,27.7815128827499,27.5851854837978
